"randomgen","bet"
1,0.129437723790761
2,0.15850711906096
3,0.116075186681701
4,0.0823462327651214
5,0.0806918335554656
6,0.135019697697135
7,0.170585499855224
8,0.0732696558523458
9,0.150516960053937
10,0.0588536050752737
11,0.0595784818113316
12,0.153104799287394
13,0.126373722578865
14,0.0854950836335774
15,0.0579602337791584
16,0.16835556931328
17,0.052996394818183
18,0.157287053629989
19,0.122216359083541
20,0.133334159804508
21,0.103029465954751
22,0.0616446380270645
23,0.105603794957278
24,0.0911345307074953
25,0.152795531536685
26,0.107534392224625
27,0.054870285949437
28,0.0574250457982998
29,0.130598580709193
30,0.111020010587526
31,0.150284551328514
32,0.141223728406476
33,0.0531862391042523
34,0.152019736543298
35,0.133259253238793
36,0.14466476860689
37,0.113731106783962
38,0.0893207786255516
39,0.12440991976182
40,0.0803681344084907
41,0.152541779226158
42,0.170016545406543
43,0.0825027826766018
44,0.085675285034813
45,0.102854125242447
46,0.123302583157783
47,0.145481959608151
48,0.150788976880722
49,0.119315667613409
50,0.0621630823705345
51,0.0641977942839731
52,0.132462253223639
53,0.121853083238238
54,0.0592090585385449
55,0.120128568913788
56,0.174764733423945
57,0.161825270520058
58,0.10707093377714
59,0.144776619545883
60,0.133942768891575
61,0.16207862716401
62,0.0569350949779619
63,0.0928191531682387
64,0.0943530396150891
65,0.0822106378152966
66,0.0702120463654865
67,0.136223497608444
68,0.124656961543951
69,0.0778646745136939
70,0.0775071868381929
71,0.124191183666699
72,0.0513222093111835
73,0.149812364933314
74,0.073526430974016
75,0.147350337775424
76,0.106188077956904
77,0.150416441477137
78,0.144005538412603
79,0.15994255184778
80,0.132486048486317
81,0.051620841678232
82,0.174150688934606
83,0.101196192507632
84,0.164347641821951
85,0.115981691819616
86,0.154770787002053
87,0.166472451511072
88,0.170567849226063
89,0.0620796711707953
90,0.122435813432094
91,0.0854775182204321
92,0.0791292592592072
93,0.140833089401713
94,0.107023805187782
95,0.13967727626441
96,0.0807174250192475
97,0.145939472899772
98,0.153490852954565
99,0.101654451002832
100,0.0668602568737697
